height_m,bin_index,r_wet_m,number_concentration_m3
0.0,0,5.50999136707472e-09,0.23602881011917795
0.0,1,5.687110394708799e-09,0.3330164946749951
0.0,2,5.870308124883228e-09,0.4682269948515032
0.0,3,6.059803343177984e-09,0.6560502844930723
0.0,4,6.255822553642081e-09,0.9160259658763631
0.0,5,6.458600204339541e-09,1.2745838701047683
0.0,6,6.668378915399495e-09,1.7673356175461163
0.0,7,6.885409709342191e-09,2.4420785025085134
0.0,8,7.109952243446419e-09,3.362716002158441
0.0,9,7.34227504391992e-09,4.614352208079158
0.0,10,7.582655741633157e-09,6.309882490602716
0.0,11,7.831381309177896e-09,8.5984819426699
0.0,12,8.088748299016753e-09,11.676489084410157
0.0,13,8.3550630824974e-09,15.801297664218012
0.0,14,8.630642089516306e-09,21.30900710994301
0.0,15,8.915812048631943e-09,28.636745378845237
0.0,16,9.210910227446301e-09,38.35076983522134
0.0,17,9.516284673096145e-09,51.18167554363016
0.0,18,9.832294452722634e-09,68.06829903528059
0.0,19,1.0159309893819372e-08,90.21220186496735
0.0,20,1.049771282439388e-08,119.14495421307899
0.0,21,1.0847896812917352e-08,156.81081560273748
0.0,22,1.1210267408081177e-08,205.66782746050598
0.0,23,1.1585242378425937e-08,268.8107890707939
0.0,24,1.1973251951959739e-08,350.1200806721907
0.0,25,1.2374739055937026e-08,454.44081861193536
0.0,26,1.2790159557026748e-08,587.7973680366457
0.0,27,1.3219982502157533e-08,757.6487852323193
0.0,28,1.3664690360390805e-08,973.1912967988932
0.0,29,1.4124779266234831e-08,1245.7144238571673
0.0,30,1.4600759264877609e-08,1589.0177986057247
0.0,31,1.5093154559880653e-08,2019.896064236946
0.0,32,1.560250376394037e-08,2558.6994580426845
0.0,33,1.6129360153385706e-08,3229.977706159847
0.0,34,1.6674291927143187e-08,4063.214655901472
0.0,35,1.7237882470958455e-08,5093.660582116453
0.0,36,1.782073062771938e-08,6363.268267759468
0.0,37,1.8423450974777755e-08,7921.737713679284
0.0,38,1.9046674109214367e-08,9827.672616069962
0.0,39,1.9691046942034084e-08,12149.849501824116
0.0,40,2.0357233002316092e-08,14968.597577303786
0.0,41,2.104591275237477e-08,18377.28387900168
0.0,42,2.1757783915012704e-08,22483.894182627206
0.0,43,2.2493561813965812e-08,27412.695315558183
0.0,44,2.3253979728653357e-08,33305.95903433117
0.0,45,2.4039789264351288e-08,40325.721509387746
0.0,46,2.485176073890663e-08,48655.545771798046
0.0,47,2.5690683587104085e-08,58502.24732600757
0.0,48,2.655736678378212e-08,70097.53566441694
0.0,49,2.745263928677829e-08,83699.51682266101
0.0,50,2.837735050075779e-08,99593.99462231438
0.0,51,2.9332370762952132e-08,118095.50113789503
0.0,52,3.031859185179961e-08,139547.98051660002
0.0,53,3.133692751944518e-08,164325.04492762758
0.0,54,3.2388314049014924e-08,192829.71750759927
0.0,55,3.347371083754041e-08,225493.57510215958
0.0,56,3.4594101005364175e-08,262775.2037892133
0.0,57,3.575049203281389e-08,305157.88300324243
0.0,58,3.69439164248879e-08,353146.41993094265
0.0,59,3.8175432404652337e-08,407263.06503405515
0.0,60,3.944612463600762e-08,468042.4523235505
0.0,61,4.075710497644168e-08,536025.5245147297
0.0,62,4.2109513260350087e-08,611752.4234749498
0.0,63,4.3504518113468934e-08,695754.3503416269
0.0,64,4.494331779893463e-08,788544.4270908637
0.0,65,4.6427141095458646e-08,890607.6217690366
0.0,66,4.795724820808215e-08,1002389.8324792995
0.0,67,4.953493171195679e-08,1124286.259789828
0.0,68,5.116151752958464e-08,1256629.2325827663
0.0,69,5.283836594194255e-08,1399675.6874222872
0.0,70,5.456687263391055e-08,1553594.535092949
0.0,71,5.634846977442585e-08,1718454.178751083
0.0,72,5.818462713179122e-08,1894210.47479934
0.0,73,6.007685322457407e-08,2080695.4487833988
0.0,74,6.202669650855162e-08,2277607.093011929
0.0,75,6.40357466001735e-08,2484500.5790161085
0.0,76,6.610563553703943e-08,2700781.215350097
0.0,77,6.823803907591708e-08,2925699.46877356
0.0,78,7.043467802885465e-08,3158348.344007538
0.0,79,7.26973196379818e-08,3397663.383799594
0.0,80,7.50277789896253e-08,3642425.5071185315
0.0,81,7.742792046841099e-08,3891266.849460028
0.0,82,7.98996592520658e-08,4142679.706415431
0.0,83,8.24449628476791e-08,4395028.611177041
0.0,84,8.506585267023046e-08,4646565.500227127
0.0,85,8.776440566424145e-08,4895447.841132123
0.0,86,9.05427559694612e-08,5139759.514465788
0.0,87,9.340309663154673e-08,5377534.160932601
0.0,88,9.634768135875362e-08,5606780.62741777
0.0,89,9.93788263257077e-08,5825510.074617305
0.0,90,1.0249891202538605e-07,6031764.246691475
0.0,91,1.0571038517049143e-07,6223644.352451188
0.0,92,1.0901576064545622e-07,6399339.970042621
0.0,93,1.1241762351038522e-07,6557157.364681937
0.0,94,1.1591863105828249e-07,6695546.602980175
0.0,95,1.1952151492699089e-07,6813126.858525163
0.0,96,1.2322908326731246e-07,6908709.331823354
0.0,97,1.2704422296884705e-07,6981317.252992218
0.0,98,1.309699019451484e-07,7030202.496719586
0.0,99,1.3500917147985181e-07,7054858.414323105
0.0,100,1.3916516863549024e-07,7055028.575136575
0.0,101,1.4344111872677944e-07,7030711.206325995
0.0,102,1.4784033786021247e-07,6982159.223637218
0.0,103,1.5236623554186694e-07,6909875.852332535
0.0,104,1.5702231735539086e-07,6814605.944339594
0.0,105,1.6181218771219783e-07,6697323.201116377
0.0,106,1.667395526759688e-07,6559213.608714027
0.0,107,1.7180822286361373e-07,6401655.479067396
0.0,108,1.770221164249259e-07,6226196.567044829
0.0,109,1.8238526210322108e-07,6034528.7941225115
0.0,110,1.879018023793188e-07,5828461.155062939
